order id,order date,customer segment,gender,product category,product subcategory,units sold,product name,unit price,discount %,shipping mode,city,state,country,payment mode,customer id,status
23,2023-06-11,Enterprise,Female,Home,Decorative Wall Art & Accessories,30,Canvas Wall Art,39.99,13.22,Standard,Drayton Valley,Alberta,Canada,Credit Card,CUS0915,Canceled
24,2022-06-07,Corporate,Male,Kitchen,Small Appliances,29,Electric Kettle,39.99,4.89,Express,Xiaolong,,China,Wallet,CUS0777,Canceled
25,2023-07-09,Small Business,Female,Kitchen,Blenders & Juicers,29,Hand Mixer,29.99,21.58,Express,Independencia,Guerrero,Mexico,Debit Card,CUS0639,Canceled
26,2024-11-13,Enterprise,Male,Food - Bakery,Breads,9,Hot Dog Buns,2.49,22.4,Express,Dabola,,Guinea,Wallet,CUS0520   CUS0521,Canceled
27,2022-04-22,Corporate,Female,Fitness,Cardio Equipment,1,Fitness Jump Rope,15.99,28.79,Same Day,Saint-Quentin-en-Yvelines,Île-de-France,France,EMI,CUS0843,Completed
28,2022-01-03,Small Business,Female,Garden,Garden Tools,6,Garden Tool Set,34.99,14.24,Same Day,Gampang,,Indonesia,Credit Card,CUS0145,Completed
29,2022-10-24,Small Business,Female,Outdoor,Camping Equipment,25,Insulated Cooler,39.99,26.73,Express,Anjirmuara,,Indonesia,COD,CUS0324,Completed
30,2022-10-18,Corporate,Male,Electronics,Computer Accessories,17,Portable Bluetooth Keyboard,39.99,20.75,Same Day,Raydah,,Yemen,COD,CUS0384,Completed
31,2023-08-13,Enterprise,Female,Food - Sauces,Condiments,26,Sriracha Honey Glaze,3.59,28.0,Express,Jiangkou,,China,Credit Card,CUS0666,Returned
32,2023-05-30,Consumer,Male,Pets,Travel Accessories,30,Pet Safety Belt for Car,14.99,18.18,Express,Rassvet,,Russia,UPI,CUS0122,Returned
33,2024-10-18,Enterprise,Female,Fitness,Yoga Equipment,10,Yoga Mat Carrier,12.99,27.77,Same Day,Jojoima,,Sierra Leone,EMI,CUS0110,Completed
34,2022-09-29,Corporate,Female,Garden,Planters,21,Self-Watering Planter,24.99,10.37,Express,El Playón,,Colombia,Debit Card,CUS0837,Returned
35,2024-10-27,Small Business,Female,Photography,Digital Cameras,17,Instant Camera,89.99,1.49,Same Day,New Agutaya,,Philippines,Credit Card,CUS0673,Completed
36,2024-01-18,Small Business,Female,Garden,Garden Tools,27,Gardening Kneeler and Seat,39.99,23.03,Express,Joševa,,Serbia,EMI,CUS0458,Completed
37,2024-11-08,Corporate,Female,Food - Bakery,Gluten-Free Treats,25,Almond Flour Cookies,4.99,27.76,Express,Cincinnati,Ohio,United States,Credit Card,CUS0629,Completed
38,2023-05-31,Corporate,Female,Food - Produce,Fruits,11,Avocados,1.5,9.17,Standard,Xiaohenglong,,China,Credit Card,CUS0409,Completed
39,2022-07-22,Small Business,Female,Kitchen,Drinkware,18,Self-Stirring Mug,19.99,6.44,Same Day,San Lucas Tolimán,,Guatemala,EMI,CUS0662,Returned
40,2022-12-16,Small Business,Bigender,Bathroom,Shower Fixtures,2,Thermostatic Shower Valve Kit,39.99,11.64,Same Day,Metulla,,Israel,Wallet,CUS0060,Completed
41,2022-10-06,Small Business,Female,Food - Snacks,Savory Snacks,23,Savory Rice Cakes,2.5,2.9,Standard,Allen,,Argentina,UPI,CUS0418,Completed
42,2023-02-15,Small Business,Female,Kitchen,Cutlery,18,Stainless Steel Cutlery Set,29.99,12.65,Same Day,Mizdah,,Libya,Wallet,CUS0820   CUS0821,Completed
43,2025-05-30,Consumer,Male,Food - Baking,Sweeteners,18,Organic Brown Sugar,2.49,25.56,Express,Sho’rchi,,Uzbekistan,Debit Card,CUS0156,Completed
44,2024-09-08,Enterprise,Female,Garden,Planters,3,Self-Watering Planters,49.99,27.6,Express,Cam Ranh,,Vietnam,UPI,CUS0174,Completed
45,2022-07-02,Consumer,Male,Toys,Puzzles,22,Wooden Puzzle Game,14.99,3.9,Same Day,Al Mushannaf,,Syria,Debit Card,CUS0114,Completed
46,2024-09-28,Corporate,Female,Food - Condiments,Hot Sauces,14,Sriracha Chili Sauce,2.79,10.91,Standard,Berlin,Berlin,Germany,COD,CUS0360 CUS0361,Canceled
47,2024-10-06,Small Business,Male,Food - Condiments,Dressing,8,Ranch Dressing,2.59,3.26,Same Day,Kristianstad,Skåne,Sweden,EMI,CUS0568,Completed
48,2025-06-21,Corporate,Male,Food - Frozen Food,Frozen Fruits,4,Mixed Berry Smoothie Pack,5.99,14.61,Same Day,Brochów,,Poland,COD,CUS0852,Completed
49,2022-06-05,Small Business,Male,Art Supplies,Drawing Supplies,3,Sketchbook,14.99,17.64,Express,Nashville,Tennessee,United States,COD,CUS0164,Completed
50,2025-05-14,Consumer,Female,Food - Soups,Vegetarian Soups,4,Leek and Potato Soup,3.29,10.66,Express,Konstancin-Jeziorna,,Poland,COD,CUS0847,Returned
51,2023-11-08,Small Business,Male,Food - Beverages,Health Drinks,13,Chocolate Mint Protein Shake,3.99,15.66,Same Day,Hedian,,China,COD,CUS0947,Canceled
52,2024-07-15,Enterprise,Female,Toys,Educational Toys,17,Children's Educational Puzzle,19.99,2.37,Same Day,Krajan Karangsari,,Indonesia,Wallet,CUS0151,Completed
53,2024-07-16,Enterprise,Agender,Kitchen,Baking Accessories,11,Silicone Baking Mat Set,24.99,13.35,Express,Karanganyar,,Indonesia,Wallet,CUS0946,Returned
54,2025-07-20,Corporate,Female,Smart Home,Home Automation,19,Smart Thermostat,149.99,27.98,Express,Riverton,,New Zealand,Wallet,CUS0314,Returned
55,2023-06-08,Small Business,Bigender,Food - Baking,Flours & Meals,23,Organic Almond Flour,6.99,23.39,Same Day,Sinilian First,,Philippines,EMI,CUS0759,Completed
56,2024-10-25,Enterprise,Male,Food - Canned Goods,Soups & Broths,11,Homestyle Chicken Noodle Soup,2.99,5.02,Express,Papilawe,,Indonesia,Wallet,CUS0949,Completed
57,2024-03-13,Small Business,Female,Kitchen,Cooking Tools & Utensils,23,Digital Food Thermometer,19.99,7.62,Same Day,Isoka,,Zambia,Wallet,CUS0337,Completed
58,2025-06-06,Consumer,Female,Food - Bakery,Breads,7,Whole Wheat Bread,2.49,8.04,Standard,Austin,Texas,United States,Debit Card,CUS0676,Completed
59,2022-11-16,Consumer,Female,Food - Condiments,Pesto,13,Sun-Dried Tomato Pesto,4.49,15.83,Express,Danilov,,Russia,Wallet,CUS0409,Returned
60,2024-07-14,Small Business,Female,Food - Sauces,Plant-Based Sauces,7,Vegan Alfredo Sauce,4.99,7.06,Express,Dhī as Sufāl,,Yemen,Credit Card,CUS0729,Completed
61,2025-08-26,Small Business,Male,Clothing - Outerwear,Coats,25,Belted Trench Coat,89.99,4.31,Same Day,Kongoussi,,Burkina Faso,Debit Card,CUS0140,Completed
62,2023-01-01,Enterprise,Male,Food - Oils & Vinegars,Oils,30,Coconut Oil,6.49,16.89,Standard,Burauen,,Philippines,COD,CUS0439,Canceled
63,2025-07-05,Corporate,Female,Food - Baked Goods,Desserts,8,Brownie Bites,4.99,20.09,Same Day,Shanhou,,China,Credit Card,CUS0844,Completed
64,2024-06-02,Corporate,Female,Food - Condiments,Salsas & Dips,7,Salsa,3.49,19.98,Express,Zhirnovsk,,Russia,Credit Card,CUS0676,Canceled
65,2024-02-16,Enterprise,Male,Kitchen,Drinkware,25,Travel Mug with Leak-Proof Lid,24.99,18.93,Standard,Höfn,,Iceland,UPI,CUS0296,Completed
66,2023-01-10,Corporate,Male,Food - Beverages,Herbal Tea,26,Herbal Tea Variety Pack,4.99,28.95,Standard,Monteiro,,Brazil,Wallet,CUS0918,Completed
67,2023-10-26,Consumer,Genderqueer,Food - Produce,Vegetables,9,Cabbage,1.29,13.36,Standard,Palmital,,Brazil,Debit Card,CUS0339,Canceled
68,2022-07-29,Consumer,Genderqueer,Food - Snacks,Savory Snacks,17,Savory Snack Mix,4.49,14.19,Same Day,Norak,,Tajikistan,UPI,CUS0888,Returned
69,2023-05-22,Consumer,Male,Kitchen,Coffee Equipment,16,Tea Set with Infuser,34.99,26.61,Same Day,Nakhon Luang,,Thailand,Wallet,CUS0196,Canceled
70,2022-06-20,Enterprise,Female,Kitchen,Small Appliances,29,Electric Fondue Pot,39.99,5.21,Same Day,Huangbu,,China,Wallet,CUS0484,Completed
71,2022-07-02,Corporate,Male,Clothing - Tops,Sweaters,30,Warm Wool Sweater,59.99,4.52,Same Day,Loyola,,Philippines,UPI,CUS0429,Completed
72,2024-05-14,Small Business,Male,Pets,Pet Safety Gear,19,Dog Car Seat Cover,39.99,20.07,Same Day,Łęki,,Poland,Wallet,CUS0167,Completed
73,2022-09-14,Small Business,Female,Food - Dairy,Dairy Spreads,8,Caramelized Onion Dip,3.99,14.27,Express,Chafé,Viana do Castelo,Portugal,UPI,CUS0945,Canceled
74,2024-04-08,Enterprise,Male,Health,Fitness & Nutrition,25,Vegan Protein Powder,34.99,27.46,Same Day,Mantalongon,,Philippines,UPI,CUS0529,Completed
75,2025-04-23,Small Business,Bigender,Food - Snacks,Nuts and Trail Mix,9,Dark Chocolate Covered Almonds,7.19,1.58,Same Day,Ayabe,,Japan,COD,CUS0713,Completed
76,2023-03-29,Enterprise,Female,Food - Breakfast,Instant Breakfast,23,Cranberry Orange Oatmeal,2.49,27.07,Standard,Homa Bay,,Kenya,Debit Card,CUS0352,Returned
77,2022-09-10,Small Business,Female,Food - Condiments,Nut Butters,4,Tahini,5.49,10.1,Same Day,Pallisa,,Uganda,EMI,CUS0362,Completed
78,2022-02-17,Small Business,Male,Travel,Luggage and Bags,20,Overnight Duffle Bag,34.99,1.39,Express,Khlong Yai,,Thailand,COD,CUS0278,Returned
79,2024-09-21,Corporate,Female,Kitchen,Cookware,12,Ceramic Non-Stick Frying Pan,39.99,8.8,Standard,Tahoua,,Niger,Debit Card,CUS0402,Completed
80,2024-06-15,Small Business,Female,Food - Salads,Bean Salads,19,Chipotle Black Bean Salad,3.29,28.17,Express,Novoaleksandrovsk,,Russia,UPI,CUS0003,Completed
81,2024-12-07,Enterprise,Male,Food - Condiments,Salsas,9,Mango Salsa,3.49,23.65,Standard,Haiyangsuo,,China,COD,CUS0394,Completed
82,2022-07-17,Small Business,Female,Food - Prepared Foods,Salads,23,Beet Salad,3.99,25.39,Express,Chambly,Québec,Canada,Debit Card,CUS0847,Canceled
83,2025-01-20,Small Business,Male,Kitchen,Small Appliances,8,Electric Butter Churn,49.99,13.24,Standard,Huddinge,Stockholm,Sweden,Wallet,CUS0428,Canceled
84,2022-09-27,Consumer,Female,Toys,Creative Toys,29,Children's Art Set,34.99,11.85,Same Day,Xiaofayi,,China,UPI,CUS0747,Canceled
85,2023-01-07,Consumer,Female,Food - Canned Goods,Canned Fruits,21,Peach Slices (canned),2.49,27.75,Same Day,Tokombere,,Nigeria,UPI,CUS0478,Completed
86,2024-01-25,Corporate,Male,Food - Produce,Fresh Cut Vegetables,30,Sliced Cucumbers,1.29,17.46,Standard,Fond du Sac,,Mauritius,Debit Card,CUS0313,Completed
87,2025-02-25,Small Business,Male,Food - Beverages,Herbal Tea,13,Hibiscus Tea Bags,3.79,8.73,Same Day,Phu Khiao,,Thailand,COD,CUS0326,Completed
88,2022-08-01,Corporate,Polygender,Food - Beverages,Tea,30,Peach Green Tea,3.49,20.13,Standard,Fenoarivo Atsinanana,,Madagascar,Wallet,CUS0884,Returned
89,2023-03-14,Enterprise,Female,Bathroom,Shower Accessories,30,High-Pressure Handheld Shower Head,39.99,7.7,Same Day,Salamnunggal,,Indonesia,Debit Card,CUS0935,Completed
90,2023-10-01,Enterprise,Bigender,Food - Baking,Mixes,10,Chocolate Fudge Brownie Mix,2.99,16.53,Same Day,Shuangpu,,China,Debit Card,CUS0373,Completed
91,2022-11-17,Consumer,Female,Office,Laptop Accessories,18,Adjustable Laptop Stand,29.99,17.1,Standard,Karangbayat,,Indonesia,Wallet,CUS0808,Completed
92,2025-06-27,Small Business,Male,Food - Seafood,Prepared Seafood,23,Teriyaki Salmon Fillets,9.99,11.47,Express,Kulary,,Russia,UPI,CUS0257,Completed
93,2023-11-29,Corporate,Male,Food - Snacks,Chips and Crisps,18,Kettle Chip Variety Pack,3.99,4.69,Express,Okiot,,Philippines,Wallet,CUS0306,Completed
94,2022-02-13,Corporate,Female,Food - Bakery,Muffins,12,Banana Nut Muffins,4.49,26.46,Express,Bouzov,,Czech Republic,UPI,CUS0335,Completed
95,2022-02-12,Small Business,Female,Kitchen,Cookware,1,Ceramic Non-Stick Frying Pan,39.99,17.07,Express,Fencheng,,China,UPI,CUS0008,Returned
96,2024-12-10,Enterprise,Male,Food - Dips,Spicy Dips,26,Buffalo Chicken Dip,5.99,5.89,Same Day,Černelavci,,Slovenia,UPI,CUS0209,Canceled
97,2023-05-31,Small Business,Female,Food - Soups,Specialty Soups,19,Spicy Thai Coconut Soup,3.99,3.34,Express,Laotai,,China,Wallet,CUS0527,Completed
98,2025-01-06,Enterprise,Bigender,Office,Lighting,30,LED Desk Lamp with USB Charging Port,29.99,23.93,Same Day,Fengniancun,,China,UPI,CUS0857,Completed
99,2022-10-18,Consumer,Female,Food - Condiments,Sauces,6,BBQ Sauce,3.49,27.94,Express,Ketara,,Indonesia,EMI,CUS0619,Completed
100,2025-03-01,Small Business,Female,Accessories,Bags,5,Backpack,49.99,14.62,Same Day,Gorzyce,,Poland,Credit Card,CUS0322,Returned
101,2025-06-19,Small Business,Male,Audio,Wireless Audio Accessories,12,Bluetooth Headphones,79.99,17.47,Same Day,Songjiang,,China,EMI,CUS0918,Completed
102,2025-03-27,Enterprise,Male,Toys,Miniature Sports Games,14,Mini Air Hockey Table,39.99,23.71,Same Day,Mambulo,,Philippines,Debit Card,CUS0659,Completed
103,2024-10-14,Enterprise,Female,Food - Meat,Marinated Poultry,19,Lemon Dill Chicken Skewers,9.99,1.8,Standard,Krajan Satu,,Indonesia,UPI,CUS0021,Canceled
104,2022-11-11,Small Business,Male,Food - Produce,Fruits,14,Organic Green Apples,1.49,24.68,Same Day,Santa Rosa,Nuevo Leon,Mexico,Debit Card,CUS0377,Returned
105,2025-07-22,Enterprise,Female,Food - Dairy,Cheese,12,Feta Cheese,4.99,20.86,Same Day,Kuala Lumpur,Kuala Lumpur,Malaysia,Debit Card,CUS0134,Canceled
106,2023-09-04,Enterprise,Male,Pets,Pet Accessories,24,Pet Leash,15.99,24.46,Standard,Sitabamba,,Peru,Debit Card,CUS0022,Completed
107,2022-10-29,Corporate,Male,Food - Snacks,Dips and Spreads,29,Spinach Artichoke Dip,4.99,11.65,Same Day,Yangsha,,China,UPI,CUS0428,Completed
108,2023-04-16,Corporate,Male,Food - Meal Kits,Vegetarian Meal Kits,23,Pasta Primavera Kit,7.49,24.49,Express,Kungshamn,Västra Götaland,Sweden,Credit Card,CUS0404,Completed
109,2025-01-27,Enterprise,Female,Food - Pasta,Specialty Pasta,15,Sweet Potato Noodles,3.79,4.12,Standard,Maevatanana,,Madagascar,Credit Card,CUS0188,Returned
110,2024-09-17,Consumer,Male,Home Appliances,Dishwashers,20,Compact Dishwasher,299.99,27.87,Same Day,Pakapasan Ilir,,Indonesia,Credit Card,CUS0525,Canceled
111,2024-05-21,Enterprise,Female,Food - Prepared Meals,Instant Meals,14,Ramen Noodle Soup Cups,1.29,8.26,Standard,Zhuyeping,,China,COD,CUS0346,Completed
112,2023-07-14,Corporate,Female,Food - Dairy,Cheese,14,Shredded Cheese,4.29,19.03,Express,Cimonyong,,Indonesia,COD,CUS0214,Returned
113,2022-04-08,Enterprise,Male,Food - Snacks,Healthy Snacks,3,Rainbow Veggie Chips,3.29,1.4,Same Day,Kabalo,,Democratic Republic of the Congo,UPI,CUS0896,Completed
114,2023-09-13,Corporate,Non-binary,Home,Decorative Wall Art & Accessories,24,Ceramic Planter Set,39.99,29.64,Standard,Dongshan,,China,Credit Card,CUS0415,Returned
115,2022-01-03,Small Business,Female,Home,Home Organization,29,Wire Shelving Unit,69.99,2.06,Same Day,Dolulolong,,Indonesia,COD,CUS0815,Canceled
116,2022-03-26,Corporate,Female,Food - Meat,Marinated Poultry,5,Lemon Dill Chicken Skewers,9.99,11.94,Express,Liuliping,,China,Credit Card,CUS0953,Completed
117,2022-06-25,Small Business,Male,Home,Home Organization,7,Collapsible Storage Crates,18.99,7.56,Standard,Datar,,Indonesia,UPI,CUS0777,Completed
118,2025-06-08,Consumer,Female,Food - Snacks,Savory Snacks,19,Pepper Jack Cheese Sticks,2.49,6.15,Same Day,Conduaga,,Philippines,COD,CUS0548,Completed
119,2025-08-11,Small Business,Male,Food - Canned Goods,Canned Legumes,29,Chickpeas,1.29,12.51,Standard,Xiangzhou,,China,Debit Card,CUS0319,Completed
120,2024-06-06,Enterprise,Female,Kitchen,Cookware,1,Non-Stick Grill Pan,39.99,10.74,Express,Brest,Bretagne,France,Credit Card,CUS0884,Completed
121,2025-04-05,Corporate,Male,Pets,Dog Accessories,20,Portable Dog Water Bottle,18.99,13.87,Standard,Rustam jo Goth,,Pakistan,Debit Card,CUS0113,Completed
122,2025-06-19,Enterprise,Female,Furniture,Office Furniture,13,Home Office Chair,199.99,21.15,Same Day,Seixas,Coimbra,Portugal,Credit Card,CUS0700   CUS0701,Completed
123,2025-02-06,Corporate,Male,Clothing - Dresses,Dresses,5,Pleated Midi Dress,79.99,20.96,Same Day,Huayuanli,,China,COD,CUS0893,Completed
124,2022-10-22,Small Business,Female,Food - Soups,Vegetarian Soups,8,Butternut Squash Soup,3.49,24.85,Same Day,Guadalupe Victoria,Veracruz Llave,Mexico,EMI,CUS0535,Completed
125,2025-05-17,Corporate,Male,Clothing - Accessories,Scarves,1,Patterned Knit Scarf,25.99,1.56,Same Day,Simenqian,,China,EMI,CUS0235,Completed
126,2025-04-19,Small Business,Female,Food - Beverages,Drink Mixes,13,Raspberry Lemonade Mix,3.99,2.53,Express,Höfn,,Iceland,Credit Card,CUS0540   CUS0541,Completed
127,2022-12-17,Enterprise,Male,Food - Frozen Desserts,Gourmet Ice Cream,15,Pistachio Ice Cream,4.99,4.13,Express,Wulijie,,China,Credit Card,CUS0228,Completed
128,2022-09-14,Consumer,Male,Food - Snacks,Healthy Snacks,2,Chia Seed Pudding,3.99,20.89,Standard,Ţāqchah Khānah,,Afghanistan,Debit Card,CUS0130,Canceled
129,2024-11-17,Consumer,Female,Outdoor,Camping Equipment,15,Air Mattress,49.99,6.71,Same Day,Dadamtu,,China,EMI,CUS0973,Completed
130,2022-08-11,Small Business,Female,Smart Home,Home Security,15,Smart Wi-Fi Camera,89.99,20.24,Same Day,Pilcaniyeu,,Argentina,Debit Card,CUS0857,Completed
131,2024-01-24,Consumer,Male,Food - Meat,Grass-Fed Meat Products,27,Grass Fed Beef Patties,9.99,10.49,Standard,Katy,Texas,United States,UPI,CUS0465,Returned
132,2025-08-15,Consumer,Female,Pets,Pet Accessories,24,Pet Tracking Collar,59.99,10.17,Express,Dukuhsia,,Indonesia,Credit Card,CUS0499,Completed
133,2023-08-08,Enterprise,Male,Audio,Audio Accessories,19,Wireless Music Receiver,19.99,6.83,Same Day,Paris La Défense,Île-de-France,France,COD,CUS0006,Completed
134,2023-10-08,Consumer,Non-binary,Home,Home Organization,2,Microfiber Cleaning Cloth Set,9.99,3.45,Same Day,Miðvágur,,Faroe Islands,UPI,CUS0866,Completed
135,2022-05-05,Consumer,Female,Food - Condiments,Salsas,7,Fire Roasted Salsa,2.49,25.78,Standard,Waru Selatan,,Indonesia,Debit Card,CUS0088,Completed
136,2024-07-21,Enterprise,Female,Food - Sides,Rice,5,Herb Seasoned Rice,2.99,5.97,Same Day,Rozvadov,,Ukraine,Wallet,CUS0096,Completed
137,2022-07-02,Enterprise,Non-binary,Wearable Tech,Fitness Monitors,18,Fitness Smartwatch,99.99,8.2,Express,Penaraga,,Indonesia,Debit Card,CUS0405,Completed
138,2024-11-22,Consumer,Female,Food - Snacks,Savory Snacks,6,Pepper Jack Cheese Sticks,2.49,28.72,Same Day,Krasnodon,,Ukraine,COD,CUS0345,Completed
139,2024-03-18,Corporate,Male,Kitchen,Baking Accessories,1,Heat-Resistant Silicone Mat,19.99,15.29,Same Day,Bielefeld,Nordrhein-Westfalen,Germany,EMI,CUS0697,Canceled
140,2024-03-12,Consumer,Male,Clothing,Outerwear,29,Rain Jacket,64.99,7.46,Express,Nové Město nad Metují,,Czech Republic,UPI,CUS0594,Completed
141,2024-02-12,Consumer,Female,Food - Canned Goods,Coconut Products,1,Coconut Milk,2.49,3.29,Standard,Ḩabābah,,Yemen,EMI,CUS0040,Completed
142,2023-05-21,Small Business,Male,Pets,Grooming Supplies,4,Pet Hair Removal Brush,14.99,29.18,Express,Västerås,Västmanland,Sweden,Wallet,CUS0167,Returned
143,2024-03-05,Small Business,Female,Health,Oral Care & Hygiene,16,Electric Toothbrush Holder,14.99,7.76,Express,Verkhnyaya Tura,,Russia,Credit Card,CUS0814,Completed
144,2022-06-21,Enterprise,Male,Food - Dairy,Cheese,13,Cheddar Cheese Slices,3.49,22.73,Express,Al Ḩarf,,Yemen,COD,CUS0194,Returned
145,2022-01-08,Corporate,Male,Kitchen,Eco-Friendly Kitchen Products,7,Reusable Produce Bags Set,14.99,1.21,Express,Tierra y Libertad,Coahuila De Zaragoza,Mexico,EMI,CUS0554,Canceled
146,2022-11-27,Small Business,Male,Kitchen,Food Storage Solutions,23,Snap-On Tupperware Set,34.99,11.46,Express,Jinhe,,China,COD,CUS0296,Canceled
147,2022-06-18,Consumer,Female,Outdoor,Camping Equipment,8,Backpacking Tent,109.99,26.58,Standard,Ribeira,Coimbra,Portugal,Debit Card,CUS0959,Returned
148,2023-05-29,Corporate,Female,Food - Condiments,Dressing,4,Classic Caesar Dressing,3.49,14.97,Standard,Rāiwind,,Pakistan,Credit Card,CUS0478,Completed
149,2024-12-27,Consumer,Male,Food - Baking,Baking Ingredients,6,Organic Coconut Flakes,3.49,15.74,Standard,Kristianstad,Skåne,Sweden,EMI,CUS0405,Completed
150,2024-10-02,Small Business,Non-binary,Kitchen,Food Storage & Organization,12,Snack Container Set,19.99,8.7,Express,Souto,Viana do Castelo,Portugal,COD,CUS0916,Returned
151,2024-01-30,Consumer,Male,Food - Pasta,Pasta,27,Lasagna Noodles,1.89,16.49,Same Day,Bugul’ma,,Russia,Debit Card,CUS0709,Completed
152,2023-09-19,Enterprise,Female,Food - Household,Household Supplies,27,Toilet Paper (12 rolls),8.99,8.77,Express,Pesochnoye,,Russia,COD,CUS0058,Completed
153,2023-09-20,Corporate,Female,Automotive,Motorcycle Accessories,19,Motorcycle Phone Mount,14.99,14.45,Express,Nicosia,,Cyprus,Debit Card,CUS0140,Returned
154,2024-03-17,Consumer,Male,Clothing - Bottoms,Bottoms,6,High-Waisted Skirt,34.99,15.36,Express,Cholpon-Ata,,Kyrgyzstan,UPI,CUS0068,Completed
155,2023-12-29,Enterprise,Female,Travel,Travel Accessories,25,Travel Luggage Scale,14.99,2.2,Standard,San Bernardo,,Chile,Wallet,CUS0800   CUS0801,Completed
156,2025-04-24,Enterprise,Male,Food - Meat,Processed Meats,24,Sliced Ham,5.49,25.72,Same Day,Manyava,,Ukraine,UPI,CUS0704,Completed
157,2023-05-11,Corporate,Female,Home,Smart Home & Security,24,Wireless Security Camera,109.99,19.17,Same Day,Oceanside,California,United States,Credit Card,CUS0172,Completed
158,2023-04-09,Small Business,Female,Food - Beverages,Sparkling Beverages,24,Lemon Lime Sparkling Water,1.99,9.96,Express,Chepes,,Argentina,UPI,CUS0588,Canceled
159,2022-08-29,Corporate,Male,Music,Audio Equipment,3,Karaoke Microphone,39.99,11.11,Standard,Shuigou’ao,,China,Debit Card,CUS0257,Completed
160,2024-06-03,Corporate,Female,Food - Meats,Poultry,12,Whole Roasted Chicken,9.99,21.82,Standard,El Real,,Venezuela,COD,CUS0407,Completed
